@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
996,5801,4,4538,1267,0.78174,0.999311,0.561079,0.999311,0.438921,0.718657,0.890525,1.122159,0
997,5801,4,4537,1268,0.781568,0.999311,0.561134,0.999311,0.438866,0.718702,0.890439,1.122267,0
998,5801,4,4536,1269,0.781395,0.999311,0.561188,0.999311,0.438812,0.718746,0.890353,1.122376,0
999,5801,4,4535,1270,0.781223,0.999311,0.561242,0.999311,0.438758,0.718791,0.890267,1.122485,0
1000,5801,4,4534,1271,0.781051,0.999311,0.561297,0.999311,0.438703,0.718835,0.890181,1.122593,0
1001,5801,4,4533,1272,0.780879,0.999311,0.561351,0.999311,0.438649,0.71888,0.890095,1.122702,0
1002,5801,4,4532,1273,0.780706,0.999311,0.561405,0.999311,0.438595,0.718924,0.890009,1.12281,0
1003,5801,4,4531,1274,0.780534,0.999311,0.56146,0.999311,0.43854,0.718969,0.889922,1.122919,0
1004,5801,4,4530,1275,0.780362,0.999311,0.561514,0.999311,0.438486,0.719013,0.889836,1.123028,0
1005,5801,4,4529,1276,0.780189,0.999311,0.561568,0.999311,0.438432,0.719058,0.88975,1.123136,0
1006,5801,4,4528,1277,0.780017,0.999311,0.561623,0.999311,0.438377,0.719103,0.889664,1.123245,0
1007,5801,4,4527,1278,0.779845,0.999311,0.561677,0.999311,0.438323,0.719147,0.889578,1.123354,0
1008,5801,4,4526,1279,0.779673,0.999311,0.561731,0.999311,0.438269,0.719192,0.889492,1.123463,0
1009,5801,4,4525,1280,0.7795,0.999311,0.561786,0.999311,0.438214,0.719236,0.889406,1.123572,0
1010,5801,4,4524,1281,0.779328,0.999311,0.56184,0.999311,0.43816,0.719281,0.88932,1.12368,0
1011,5801,4,4523,1282,0.779156,0.999311,0.561895,0.999311,0.438105,0.719325,0.889233,1.123789,0
1012,5801,4,4522,1283,0.778984,0.999311,0.561949,0.999311,0.438051,0.71937,0.889147,1.123898,0
1013,5801,4,4521,1284,0.778811,0.999311,0.562003,0.999311,0.437997,0.719415,0.889061,1.124007,0
1014,5801,4,4520,1285,0.778639,0.999311,0.562058,0.999311,0.437942,0.719459,0.888975,1.124116,0
1015,5801,4,4519,1286,0.778467,0.999311,0.562112,0.999311,0.437888,0.719504,0.888889,1.124225,0
1016,5801,4,4518,1287,0.778295,0.999311,0.562167,0.999311,0.437833,0.719548,0.888803,1.124334,0
1017,5801,4,4517,1288,0.778122,0.999311,0.562221,0.999311,0.437779,0.719593,0.888717,1.124443,0
1018,5801,4,4516,1289,0.77795,0.999311,0.562276,0.999311,0.437724,0.719638,0.88863,1.124552,0
1019,5801,4,4515,1290,0.777778,0.999311,0.56233,0.999311,0.43767,0.719682,0.888544,1.124661,0
1020,5801,4,4514,1291,0.777606,0.999311,0.562385,0.999311,0.437615,0.719727,0.888458,1.12477,0
1021,5801,4,4513,1292,0.777433,0.999311,0.562439,0.999311,0.437561,0.719772,0.888372,1.124879,0
1022,5801,4,4512,1293,0.777261,0.999311,0.562494,0.999311,0.437506,0.719816,0.888286,1.124988,0
1023,5801,4,4511,1294,0.777089,0.999311,0.562548,0.999311,0.437452,0.719861,0.8882,1.125097,0
1024,5801,4,4510,1295,0.776916,0.999311,0.562603,0.999311,0.437397,0.719906,0.888114,1.125206,0
1025,5801,4,4509,1296,0.776744,0.999311,0.562658,0.999311,0.437342,0.71995,0.888028,1.125315,0
1026,5801,4,4508,1297,0.776572,0.999311,0.562712,0.999311,0.437288,0.719995,0.887941,1.125424,0
1027,5801,4,4507,1298,0.7764,0.999311,0.562767,0.999311,0.437233,0.72004,0.887855,1.125534,0
1028,5801,4,4506,1299,0.776227,0.999311,0.562821,0.999311,0.437179,0.720084,0.887769,1.125643,0
1029,5801,4,4505,1300,0.776055,0.999311,0.562876,0.999311,0.437124,0.720129,0.887683,1.125752,0
1030,5801,4,4504,1301,0.775883,0.999311,0.562931,0.999311,0.437069,0.720174,0.887597,1.125861,0
1031,5801,4,4503,1302,0.775711,0.999311,0.562985,0.999311,0.437015,0.720219,0.887511,1.12597,0
1032,5801,4,4502,1303,0.775538,0.999311,0.56304,0.999311,0.43696,0.720263,0.887425,1.12608,0
1033,5801,4,4501,1304,0.775366,0.999311,0.563095,0.999311,0.436905,0.720308,0.887339,1.126189,0
1034,5801,4,4500,1305,0.775194,0.999311,0.563149,0.999311,0.436851,0.720353,0.887252,1.126298,0
1035,5801,4,4499,1306,0.775022,0.999311,0.563204,0.999311,0.436796,0.720397,0.887166,1.126408,0
1036,5801,4,4498,1307,0.774849,0.999311,0.563259,0.999311,0.436741,0.720442,0.88708,1.126517,0
1037,5801,4,4497,1308,0.774677,0.999311,0.563313,0.999311,0.436687,0.720487,0.886994,1.126627,0
1038,5801,4,4496,1309,0.774505,0.999311,0.563368,0.999311,0.436632,0.720532,0.886908,1.126736,0
1039,5801,4,4495,1310,0.774332,0.999311,0.563423,0.999311,0.436577,0.720576,0.886822,1.126845,0
1040,5801,4,4494,1311,0.77416,0.999311,0.563477,0.999311,0.436523,0.720621,0.886736,1.126955,0
1041,5801,4,4493,1312,0.773988,0.999311,0.563532,0.999311,0.436468,0.720666,0.886649,1.127064,0
1042,5801,4,4492,1313,0.773816,0.999311,0.563587,0.999311,0.436413,0.720711,0.886563,1.127174,0
1043,5801,4,4491,1314,0.773643,0.999311,0.563642,0.999311,0.436358,0.720755,0.886477,1.127283,0
1044,5801,4,4490,1315,0.773471,0.999311,0.563696,0.999311,0.436304,0.7208,0.886391,1.127393,0
1045,5801,4,4489,1316,0.773299,0.999311,0.563751,0.999311,0.436249,0.720845,0.886305,1.127502,0
1046,5801,4,4488,1317,0.773127,0.999311,0.563806,0.999311,0.436194,0.72089,0.886219,1.127612,0
1047,5801,4,4487,1318,0.772954,0.999311,0.563861,0.999311,0.436139,0.720935,0.886133,1.127722,0
1048,5801,4,4486,1319,0.772782,0.999311,0.563916,0.999311,0.436084,0.720979,0.886047,1.127831,0
1049,5801,4,4485,1320,0.77261,0.999311,0.56397,0.999311,0.43603,0.721024,0.88596,1.127941,0
1050,5801,4,4484,1321,0.772438,0.999311,0.564025,0.999311,0.435975,0.721069,0.885874,1.128051,0
1051,5801,4,4483,1322,0.772265,0.999311,0.56408,0.999311,0.43592,0.721114,0.885788,1.12816,0
1052,5801,4,4482,1323,0.772093,0.999311,0.564135,0.999311,0.435865,0.721159,0.885702,1.12827,0
1053,5801,4,4481,1324,0.771921,0.999311,0.56419,0.999311,0.43581,0.721203,0.885616,1.12838,0
1054,5801,4,4480,1325,0.771748,0.999311,0.564245,0.999311,0.435755,0.721248,0.88553,1.128489,0
1055,5801,4,4479,1326,0.771576,0.999311,0.5643,0.999311,0.4357,0.721293,0.885444,1.128599,0
1056,5801,4,4478,1327,0.771404,0.999311,0.564355,0.999311,0.435645,0.721338,0.885357,1.128709,0
1057,5801,4,4477,1328,0.771232,0.999311,0.564409,0.999311,0.435591,0.721383,0.885271,1.128819,0
1058,5801,4,4476,1329,0.771059,0.999311,0.564464,0.999311,0.435536,0.721428,0.885185,1.128929,0
1059,5801,4,4475,1330,0.770887,0.999311,0.564519,0.999311,0.435481,0.721473,0.885099,1.129039,0
1060,5801,4,4474,1331,0.770715,0.999311,0.564574,0.999311,0.435426,0.721517,0.885013,1.129148,0
1061,5801,4,4473,1332,0.770543,0.999311,0.564629,0.999311,0.435371,0.721562,0.884927,1.129258,0
1062,5801,4,4472,1333,0.77037,0.999311,0.564684,0.999311,0.435316,0.721607,0.884841,1.129368,0
1063,5801,4,4471,1334,0.770198,0.999311,0.564739,0.999311,0.435261,0.721652,0.884755,1.129478,0
1064,5801,4,4470,1335,0.770026,0.999311,0.564794,0.999311,0.435206,0.721697,0.884668,1.129588,0
1065,5801,4,4469,1336,0.769854,0.999311,0.564849,0.999311,0.435151,0.721742,0.884582,1.129698,0
1066,5801,4,4468,1337,0.769681,0.999311,0.564904,0.999311,0.435096,0.721787,0.884496,1.129808,0
1067,5801,4,4467,1338,0.769509,0.999311,0.564959,0.999311,0.435041,0.721832,0.88441,1.129918,0
1068,5801,4,4466,1339,0.769337,0.999311,0.565014,0.999311,0.434986,0.721877,0.884324,1.130028,0
1069,5801,4,4465,1340,0.769165,0.999311,0.565069,0.999311,0.434931,0.721921,0.884238,1.130138,0
1070,5801,4,4464,1341,0.768992,0.999311,0.565124,0.999311,0.434876,0.721966,0.884152,1.130248,0
1071,5801,4,4463,1342,0.76882,0.999311,0.565179,0.999311,0.434821,0.722011,0.884065,1.130359,0
1072,5801,4,4462,1343,0.768648,0.999311,0.565234,0.999311,0.434766,0.722056,0.883979,1.130469,0
1073,5801,4,4461,1344,0.768475,0.999311,0.565289,0.999311,0.434711,0.722101,0.883893,1.130579,0
1074,5801,4,4460,1345,0.768303,0.999311,0.565345,0.999311,0.434655,0.722146,0.883807,1.130689,0
1075,5801,4,4459,1346,0.768131,0.999311,0.5654,0.999311,0.4346,0.722191,0.883721,1.130799,0
1076,5801,4,4458,1347,0.767959,0.999311,0.565455,0.999311,0.434545,0.722236,0.883635,1.130909,0
1077,5801,4,4457,1348,0.767786,0.999311,0.56551,0.999311,0.43449,0.722281,0.883549,1.13102,0
1078,5801,4,4456,1349,0.767614,0.999311,0.565565,0.999311,0.434435,0.722326,0.883463,1.13113,0
1079,5801,4,4455,1350,0.767442,0.999311,0.56562,0.999311,0.43438,0.722371,0.883376,1.13124,0
1080,5801,4,4454,1351,0.76727,0.999311,0.565675,0.999311,0.434325,0.722416,0.88329,1.131351,0
1081,5801,4,4453,1352,0.767097,0.999311,0.56573,0.999311,0.43427,0.722461,0.883204,1.131461,0
1082,5801,4,4452,1353,0.766925,0.999311,0.565786,0.999311,0.434214,0.722506,0.883118,1.131571,0
1083,5801,4,4451,1354,0.766753,0.999311,0.565841,0.999311,0.434159,0.722551,0.883032,1.131682,0
1084,5801,4,4450,1355,0.766581,0.999311,0.565896,0.999311,0.434104,0.722596,0.882946,1.131792,0
1085,5801,4,4449,1356,0.766408,0.999311,0.565951,0.999311,0.434049,0.722641,0.88286,1.131902,0
1086,5801,4,4448,1357,0.766236,0.999311,0.566006,0.999311,0.433994,0.722686,0.882773,1.132013,0
1087,5801,4,4447,1358,0.766064,0.999311,0.566062,0.999311,0.433938,0.722731,0.882687,1.132123,0
1088,5801,4,4446,1359,0.765891,0.999311,0.566117,0.999311,0.433883,0.722776,0.882601,1.132234,0
1089,5801,4,4445,1360,0.765719,0.999311,0.566172,0.999311,0.433828,0.722821,0.882515,1.132344,0
1090,5801,4,4444,1361,0.765547,0.999311,0.566227,0.999311,0.433773,0.722866,0.882429,1.132455,0
1091,5801,4,4443,1362,0.765375,0.999311,0.566283,0.999311,0.433717,0.722911,0.882343,1.132565,0
1092,5801,4,4442,1363,0.765202,0.999311,0.566338,0.999311,0.433662,0.722956,0.882257,1.132676,0
1093,5801,4,4441,1364,0.76503,0.999311,0.566393,0.999311,0.433607,0.723001,0.882171,1.132787,0
1094,5801,4,4440,1365,0.764858,0.999311,0.566449,0.999311,0.433551,0.723046,0.882084,1.132897,0
1095,5801,4,4439,1366,0.764686,0.999311,0.566504,0.999311,0.433496,0.723091,0.881998,1.133008,0
1096,5801,4,4438,1367,0.764513,0.999311,0.566559,0.999311,0.433441,0.723136,0.881912,1.133118,0
1097,5801,4,4437,1368,0.764341,0.999311,0.566615,0.999311,0.433385,0.723181,0.881826,1.133229,0
1098,5801,4,4436,1369,0.764169,0.999311,0.56667,0.999311,0.43333,0.723227,0.88174,1.13334,0
1099,5801,4,4435,1370,0.763997,0.999311,0.566725,0.999311,0.433275,0.723272,0.881654,1.133451,0
1100,5801,4,4434,1371,0.763824,0.999311,0.566781,0.999311,0.433219,0.723317,0.881568,1.133561,0
1101,5801,4,4433,1372,0.763652,0.999311,0.566836,0.999311,0.433164,0.723362,0.881481,1.133672,0
1102,5801,4,4432,1373,0.76348,0.999311,0.566891,0.999311,0.433109,0.723407,0.881395,1.133783,0
1103,5801,4,4431,1374,0.763307,0.999311,0.566947,0.999311,0.433053,0.723452,0.881309,1.133894,0
1104,5801,4,4430,1375,0.763135,0.999311,0.567002,0.999311,0.432998,0.723497,0.881223,1.134004,0
1105,5801,4,4429,1376,0.762963,0.999311,0.567058,0.999311,0.432942,0.723542,0.881137,1.134115,0
1106,5801,4,4428,1377,0.762791,0.999311,0.567113,0.999311,0.432887,0.723587,0.881051,1.134226,0
1107,5801,4,4427,1378,0.762618,0.999311,0.567169,0.999311,0.432831,0.723633,0.880965,1.134337,0
1108,5801,4,4426,1379,0.762446,0.999311,0.567224,0.999311,0.432776,0.723678,0.880879,1.134448,0
1109,5801,4,4425,1380,0.762274,0.999311,0.567279,0.999311,0.432721,0.723723,0.880792,1.134559,0
1110,5801,4,4424,1381,0.762102,0.999311,0.567335,0.999311,0.432665,0.723768,0.880706,1.13467,0
1111,5801,4,4423,1382,0.761929,0.999311,0.56739,0.999311,0.43261,0.723813,0.88062,1.134781,0
1112,5801,4,4422,1383,0.761757,0.999311,0.567446,0.999311,0.432554,0.723858,0.880534,1.134892,0
1113,5801,4,4421,1384,0.761585,0.999311,0.567501,0.999311,0.432499,0.723903,0.880448,1.135003,0
1114,5801,4,4420,1385,0.761413,0.999311,0.567557,0.999311,0.432443,0.723949,0.880362,1.135114,0
1115,5801,4,4419,1386,0.76124,0.999311,0.567613,0.999311,0.432387,0.723994,0.880276,1.135225,0
1116,5801,4,4418,1387,0.761068,0.999311,0.567668,0.999311,0.432332,0.724039,0.880189,1.135336,0
1117,5801,4,4417,1388,0.760896,0.999311,0.567724,0.999311,0.432276,0.724084,0.880103,1.135447,0
1118,5801,4,4416,1389,0.760724,0.999311,0.567779,0.999311,0.432221,0.724129,0.880017,1.135558,0
1119,5801,4,4415,1390,0.760551,0.999311,0.567835,0.999311,0.432165,0.724175,0.879931,1.13567,0
1120,5801,4,4414,1391,0.760379,0.999311,0.56789,0.999311,0.43211,0.72422,0.879845,1.135781,0
1121,5801,4,4413,1392,0.760207,0.999311,0.567946,0.999311,0.432054,0.724265,0.879759,1.135892,0
1122,5801,4,4412,1393,0.760034,0.999311,0.568002,0.999311,0.431998,0.72431,0.879673,1.136003,0
1123,5801,4,4411,1394,0.759862,0.999311,0.568057,0.999311,0.431943,0.724355,0.879587,1.136114,0
1124,5801,4,4410,1395,0.75969,0.999311,0.568113,0.999311,0.431887,0.724401,0.8795,1.136226,0
1125,5801,4,4409,1396,0.759518,0.999311,0.568168,0.999311,0.431832,0.724446,0.879414,1.136337,0
1126,5801,4,4408,1397,0.759345,0.999311,0.568224,0.999311,0.431776,0.724491,0.879328,1.136448,0
1127,5801,4,4407,1398,0.759173,0.999311,0.56828,0.999311,0.43172,0.724536,0.879242,1.13656,0
1128,5801,4,4406,1399,0.759001,0.999311,0.568335,0.999311,0.431665,0.724582,0.879156,1.136671,0
1129,5801,4,4405,1400,0.758829,0.999311,0.568391,0.999311,0.431609,0.724627,0.87907,1.136782,0
1130,5801,4,4404,1401,0.758656,0.999311,0.568447,0.999311,0.431553,0.724672,0.878984,1.136894,0
1131,5801,4,4403,1402,0.758484,0.999311,0.568503,0.999311,0.431497,0.724717,0.878898,1.137005,0
1132,5801,4,4402,1403,0.758312,0.999311,0.568558,0.999311,0.431442,0.724763,0.878811,1.137117,0
1133,5801,4,4401,1404,0.75814,0.999311,0.568614,0.999311,0.431386,0.724808,0.878725,1.137228,0
1134,5801,4,4400,1405,0.757967,0.999311,0.56867,0.999311,0.43133,0.724853,0.878639,1.137339,0
1135,5801,4,4399,1406,0.757795,0.999311,0.568725,0.999311,0.431275,0.724898,0.878553,1.137451,0
1136,5801,4,4398,1407,0.757623,0.999311,0.568781,0.999311,0.431219,0.724944,0.878467,1.137563,0
1137,5801,4,4397,1408,0.75745,0.999311,0.568837,0.999311,0.431163,0.724989,0.878381,1.137674,0
1138,5801,4,4396,1409,0.757278,0.999311,0.568893,0.999311,0.431107,0.725034,0.878295,1.137786,0
1139,5801,4,4395,1410,0.757106,0.999311,0.568949,0.999311,0.431051,0.72508,0.878208,1.137897,0
1140,5801,4,4394,1411,0.756934,0.999311,0.569004,0.999311,0.430996,0.725125,0.878122,1.138009,0
1141,5801,4,4393,1412,0.756761,0.999311,0.56906,0.999311,0.43094,0.72517,0.878036,1.13812,0
1142,5801,4,4392,1413,0.756589,0.999311,0.569116,0.999311,0.430884,0.725216,0.87795,1.138232,0
1143,5801,4,4391,1414,0.756417,0.999311,0.569172,0.999311,0.430828,0.725261,0.877864,1.138344,0
1144,5801,4,4390,1415,0.756245,0.999311,0.569228,0.999311,0.430772,0.725306,0.877778,1.138455,0
1145,5801,4,4389,1416,0.756072,0.999311,0.569284,0.999311,0.430716,0.725352,0.877692,1.138567,0
1146,5801,4,4388,1417,0.7559,0.999311,0.569339,0.999311,0.430661,0.725397,0.877606,1.138679,0
1147,5801,4,4387,1418,0.755728,0.999311,0.569395,0.999311,0.430605,0.725442,0.877519,1.138791,0
1148,5801,4,4386,1419,0.755556,0.999311,0.569451,0.999311,0.430549,0.725488,0.877433,1.138903,0
1149,5801,4,4385,1420,0.755383,0.999311,0.569507,0.999311,0.430493,0.725533,0.877347,1.139014,0
1150,5801,4,4384,1421,0.755211,0.999311,0.569563,0.999311,0.430437,0.725578,0.877261,1.139126,0
1151,5801,4,4383,1422,0.755039,0.999311,0.569619,0.999311,0.430381,0.725624,0.877175,1.139238,0
1152,5801,4,4382,1423,0.754866,0.999311,0.569675,0.999311,0.430325,0.725669,0.877089,1.13935,0
1153,5801,4,4381,1424,0.754694,0.999311,0.569731,0.999311,0.430269,0.725715,0.877003,1.139462,0
1154,5801,4,4380,1425,0.754522,0.999311,0.569787,0.999311,0.430213,0.72576,0.876916,1.139574,0
1155,5801,4,4379,1426,0.75435,0.999311,0.569843,0.999311,0.430157,0.725805,0.87683,1.139686,0
1156,5801,4,4378,1427,0.754177,0.999311,0.569899,0.999311,0.430101,0.725851,0.876744,1.139798,0
1157,5801,4,4377,1428,0.754005,0.999311,0.569955,0.999311,0.430045,0.725896,0.876658,1.13991,0
1158,5801,4,4376,1429,0.753833,0.999311,0.570011,0.999311,0.429989,0.725942,0.876572,1.140022,0
1159,5801,4,4375,1430,0.753661,0.999311,0.570067,0.999311,0.429933,0.725987,0.876486,1.140134,0
1160,5801,4,4374,1431,0.753488,0.999311,0.570123,0.999311,0.429877,0.726033,0.8764,1.140246,0
1161,5801,4,4373,1432,0.753316,0.999311,0.570179,0.999311,0.429821,0.726078,0.876314,1.140358,0
1162,5801,4,4372,1433,0.753144,0.999311,0.570235,0.999311,0.429765,0.726123,0.876227,1.14047,0
1163,5801,4,4371,1434,0.752972,0.999311,0.570291,0.999311,0.429709,0.726169,0.876141,1.140582,0
1164,5801,4,4370,1435,0.752799,0.999311,0.570347,0.999311,0.429653,0.726214,0.876055,1.140694,0
1165,5801,4,4369,1436,0.752627,0.999311,0.570403,0.999311,0.429597,0.72626,0.875969,1.140806,0
1166,5801,4,4368,1437,0.752455,0.999311,0.570459,0.999311,0.429541,0.726305,0.875883,1.140918,0
1167,5801,4,4367,1438,0.752283,0.999311,0.570515,0.999311,0.429485,0.726351,0.875797,1.141031,0
1168,5801,4,4366,1439,0.75211,0.999311,0.570571,0.999311,0.429429,0.726396,0.875711,1.141143,0
1169,5801,4,4365,1440,0.751938,0.999311,0.570628,0.999311,0.429372,0.726442,0.875624,1.141255,0
1170,5801,4,4364,1441,0.751766,0.999311,0.570684,0.999311,0.429316,0.726487,0.875538,1.141367,0
1171,5801,4,4363,1442,0.751593,0.999311,0.57074,0.999311,0.42926,0.726533,0.875452,1.14148,0
1172,5801,4,4362,1443,0.751421,0.999311,0.570796,0.999311,0.429204,0.726578,0.875366,1.141592,0
1173,5801,4,4361,1444,0.751249,0.999311,0.570852,0.999311,0.429148,0.726624,0.87528,1.141704,0
1174,5801,4,4360,1445,0.751077,0.999311,0.570908,0.999311,0.429092,0.726669,0.875194,1.141817,0
1175,5801,4,4359,1446,0.750904,0.999311,0.570965,0.999311,0.429035,0.726715,0.875108,1.141929,0
1176,5801,4,4358,1447,0.750732,0.999311,0.571021,0.999311,0.428979,0.72676,0.875022,1.142042,0
1177,5801,4,4357,1448,0.75056,0.999311,0.571077,0.999311,0.428923,0.726806,0.874935,1.142154,0
1178,5801,4,4356,1449,0.750388,0.999311,0.571133,0.999311,0.428867,0.726851,0.874849,1.142266,0
1179,5801,4,4355,1450,0.750215,0.999311,0.571189,0.999311,0.428811,0.726897,0.874763,1.142379,0
1180,5801,4,4354,1451,0.750043,0.999311,0.571246,0.999311,0.428754,0.726942,0.874677,1.142491,0
1181,5801,4,4353,1452,0.749871,0.999311,0.571302,0.999311,0.428698,0.726988,0.874591,1.142604,0
1182,5801,4,4352,1453,0.749699,0.999311,0.571358,0.999311,0.428642,0.727033,0.874505,1.142716,0
1183,5801,4,4351,1454,0.749526,0.999311,0.571414,0.999311,0.428586,0.727079,0.874419,1.142829,0
1184,5801,4,4350,1455,0.749354,0.999311,0.571471,0.999311,0.428529,0.727125,0.874332,1.142942,0
1185,5801,4,4349,1456,0.749182,0.999311,0.571527,0.999311,0.428473,0.72717,0.874246,1.143054,0
1186,5801,4,4348,1457,0.749009,0.999311,0.571583,0.999311,0.428417,0.727216,0.87416,1.143167,0
1187,5801,4,4347,1458,0.748837,0.999311,0.57164,0.999311,0.42836,0.727261,0.874074,1.143279,0
1188,5801,4,4346,1459,0.748665,0.999311,0.571696,0.999311,0.428304,0.727307,0.873988,1.143392,0
1189,5801,4,4345,1460,0.748493,0.999311,0.571752,0.999311,0.428248,0.727353,0.873902,1.143505,0
1190,5801,4,4344,1461,0.74832,0.999311,0.571809,0.999311,0.428191,0.727398,0.873816,1.143618,0
1191,5801,4,4343,1462,0.748148,0.999311,0.571865,0.999311,0.428135,0.727444,0.87373,1.14373,0
1192,5801,4,4342,1463,0.747976,0.999311,0.571922,0.999311,0.428078,0.727489,0.873643,1.143843,0
1193,5801,4,4341,1464,0.747804,0.999311,0.571978,0.999311,0.428022,0.727535,0.873557,1.143956,0
1194,5801,4,4340,1465,0.747631,0.999311,0.572034,0.999311,0.427966,0.727581,0.873471,1.144069,0
1195,5801,4,4339,1466,0.747459,0.999311,0.572091,0.999311,0.427909,0.727626,0.873385,1.144181,0
1196,5801,4,4338,1467,0.747287,0.999311,0.572147,0.999311,0.427853,0.727672,0.873299,1.144294,0
1197,5801,4,4337,1468,0.747115,0.999311,0.572204,0.999311,0.427796,0.727717,0.873213,1.144407,0
1198,5801,4,4336,1469,0.746942,0.999311,0.57226,0.999311,0.42774,0.727763,0.873127,1.14452,0
1199,5801,4,4335,1470,0.74677,0.999311,0.572316,0.999311,0.427684,0.727809,0.87304,1.144633,0
1200,5801,4,4334,1471,0.746598,0.999311,0.572373,0.999311,0.427627,0.727854,0.872954,1.144746,0
1201,5801,4,4333,1472,0.746425,0.999311,0.572429,0.999311,0.427571,0.7279,0.872868,1.144859,0
1202,5801,4,4332,1473,0.746253,0.999311,0.572486,0.999311,0.427514,0.727946,0.872782,1.144972,0
1203,5801,4,4331,1474,0.746081,0.999311,0.572542,0.999311,0.427458,0.727991,0.872696,1.145085,0
1204,5801,4,4330,1475,0.745909,0.999311,0.572599,0.999311,0.427401,0.728037,0.87261,1.145198,0
1205,5801,4,4329,1476,0.745736,0.999311,0.572655,0.999311,0.427345,0.728083,0.872524,1.145311,0
1206,5801,4,4328,1477,0.745564,0.999311,0.572712,0.999311,0.427288,0.728129,0.872438,1.145424,0
1207,5801,4,4327,1478,0.745392,0.999311,0.572769,0.999311,0.427231,0.728174,0.872351,1.145537,0
1208,5801,4,4326,1479,0.74522,0.999311,0.572825,0.999311,0.427175,0.72822,0.872265,1.14565,0
1209,5801,4,4325,1480,0.745047,0.999311,0.572882,0.999311,0.427118,0.728266,0.872179,1.145763,0
1210,5801,4,4324,1481,0.744875,0.999311,0.572938,0.999311,0.427062,0.728311,0.872093,1.145877,0
1211,5801,4,4323,1482,0.744703,0.999311,0.572995,0.999311,0.427005,0.728357,0.872007,1.14599,0
1212,5801,4,4322,1483,0.744531,0.999311,0.573051,0.999311,0.426949,0.728403,0.871921,1.146103,0
1213,5801,4,4321,1484,0.744358,0.999311,0.573108,0.999311,0.426892,0.728449,0.871835,1.146216,0
1214,5801,4,4320,1485,0.744186,0.999311,0.573165,0.999311,0.426835,0.728494,0.871748,1.146329,0
1215,5801,4,4319,1486,0.744014,0.999311,0.573221,0.999311,0.426779,0.72854,0.871662,1.146443,0
1216,5801,4,4318,1487,0.743842,0.999311,0.573278,0.999311,0.426722,0.728586,0.871576,1.146556,0
1217,5801,4,4317,1488,0.743669,0.999311,0.573335,0.999311,0.426665,0.728632,0.87149,1.146669,0
1218,5801,4,4316,1489,0.743497,0.999311,0.573391,0.999311,0.426609,0.728677,0.871404,1.146783,0
1219,5801,4,4315,1490,0.743325,0.999311,0.573448,0.999311,0.426552,0.728723,0.871318,1.146896,0
1220,5801,4,4314,1491,0.743152,0.999311,0.573505,0.999311,0.426495,0.728769,0.871232,1.147009,0
1221,5801,4,4313,1492,0.74298,0.999311,0.573561,0.999311,0.426439,0.728815,0.871146,1.147123,0
1222,5801,4,4312,1493,0.742808,0.999311,0.573618,0.999311,0.426382,0.72886,0.871059,1.147236,0
1223,5801,4,4311,1494,0.742636,0.999311,0.573675,0.999311,0.426325,0.728906,0.870973,1.14735,0
1224,5801,4,4310,1495,0.742463,0.999311,0.573732,0.999311,0.426268,0.728952,0.870887,1.147463,0
1225,5801,4,4309,1496,0.742291,0.999311,0.573788,0.999311,0.426212,0.728998,0.870801,1.147577,0
1226,5801,4,4308,1497,0.742119,0.999311,0.573845,0.999311,0.426155,0.729044,0.870715,1.14769,0
1227,5801,4,4307,1498,0.741947,0.999311,0.573902,0.999311,0.426098,0.729089,0.870629,1.147804,0
1228,5801,4,4306,1499,0.741774,0.999311,0.573959,0.999311,0.426041,0.729135,0.870543,1.147917,0
1229,5801,4,4305,1500,0.741602,0.999311,0.574015,0.999311,0.425985,0.729181,0.870457,1.148031,0
1230,5801,4,4304,1501,0.74143,0.999311,0.574072,0.999311,0.425928,0.729227,0.87037,1.148144,0
1231,5801,4,4303,1502,0.741258,0.999311,0.574129,0.999311,0.425871,0.729273,0.870284,1.148258,0
1232,5801,4,4302,1503,0.741085,0.999311,0.574186,0.999311,0.425814,0.729319,0.870198,1.148372,0
1233,5801,4,4301,1504,0.740913,0.999311,0.574243,0.999311,0.425757,0.729364,0.870112,1.148485,0
1234,5801,4,4300,1505,0.740741,0.999311,0.5743,0.999311,0.4257,0.72941,0.870026,1.148599,0
1235,5801,4,4299,1506,0.740568,0.999311,0.574356,0.999311,0.425644,0.729456,0.86994,1.148713,0
1236,5801,4,4298,1507,0.740396,0.999311,0.574413,0.999311,0.425587,0.729502,0.869854,1.148827,0
1237,5801,4,4297,1508,0.740224,0.999311,0.57447,0.999311,0.42553,0.729548,0.869767,1.14894,0
1238,5801,4,4296,1509,0.740052,0.999311,0.574527,0.999311,0.425473,0.729594,0.869681,1.149054,0
1239,5801,4,4295,1510,0.739879,0.999311,0.574584,0.999311,0.425416,0.72964,0.869595,1.149168,0
1240,5801,4,4294,1511,0.739707,0.999311,0.574641,0.999311,0.425359,0.729686,0.869509,1.149282,0
1241,5801,4,4293,1512,0.739535,0.999311,0.574698,0.999311,0.425302,0.729731,0.869423,1.149396,0
