@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,5805,0,5468,337,0.941947,1,0.514947,1,0.485053,0.679822,0.970973,1.029894,0
63,5805,0,5467,338,0.941774,1,0.514993,1,0.485007,0.679862,0.970887,1.029986,0
64,5805,0,5466,339,0.941602,1,0.515039,1,0.484961,0.679902,0.970801,1.030077,0
65,5805,0,5465,340,0.94143,1,0.515084,1,0.484916,0.679941,0.970715,1.030169,0
66,5805,0,5464,341,0.941258,1,0.51513,1,0.48487,0.679981,0.970629,1.03026,0
67,5805,0,5463,342,0.941085,1,0.515176,1,0.484824,0.680021,0.970543,1.030351,0
68,5805,0,5462,343,0.940913,1,0.515221,1,0.484779,0.680061,0.970457,1.030443,0
69,5805,0,5461,344,0.940741,1,0.515267,1,0.484733,0.680101,0.97037,1.030534,0
70,5805,0,5460,345,0.940568,1,0.515313,1,0.484687,0.680141,0.970284,1.030626,0
71,5805,0,5459,346,0.940396,1,0.515359,1,0.484641,0.68018,0.970198,1.030717,0
72,5805,0,5458,347,0.940224,1,0.515404,1,0.484596,0.68022,0.970112,1.030809,0
73,5805,0,5457,348,0.940052,1,0.51545,1,0.48455,0.68026,0.970026,1.0309,0
74,5805,0,5456,349,0.939879,1,0.515496,1,0.484504,0.6803,0.96994,1.030992,0
75,5805,0,5455,350,0.939707,1,0.515542,1,0.484458,0.68034,0.969854,1.031083,0
76,5805,0,5454,351,0.939535,1,0.515588,1,0.484412,0.68038,0.969767,1.031175,0
77,5805,0,5453,352,0.939363,1,0.515633,1,0.484367,0.68042,0.969681,1.031267,0
78,5805,0,5452,353,0.93919,1,0.515679,1,0.484321,0.68046,0.969595,1.031358,0
79,5805,0,5451,354,0.939018,1,0.515725,1,0.484275,0.680499,0.969509,1.03145,0
80,5805,0,5450,355,0.938846,1,0.515771,1,0.484229,0.680539,0.969423,1.031542,0
81,5805,0,5449,356,0.938674,1,0.515817,1,0.484183,0.680579,0.969337,1.031633,0
82,5805,0,5448,357,0.938501,1,0.515862,1,0.484138,0.680619,0.969251,1.031725,0
83,5805,0,5447,358,0.938329,1,0.515908,1,0.484092,0.680659,0.969165,1.031817,0
84,5805,0,5446,359,0.938157,1,0.515954,1,0.484046,0.680699,0.969078,1.031908,0
85,5805,0,5445,360,0.937984,1,0.516,1,0.484,0.680739,0.968992,1.032,0
86,5805,0,5444,361,0.937812,1,0.516046,1,0.483954,0.680779,0.968906,1.032092,0
87,5805,0,5443,362,0.93764,1,0.516092,1,0.483908,0.680819,0.96882,1.032183,0
88,5805,0,5442,363,0.937468,1,0.516138,1,0.483862,0.680859,0.968734,1.032275,0
89,5805,0,5441,364,0.937295,1,0.516184,1,0.483816,0.680898,0.968648,1.032367,0
90,5805,0,5440,365,0.937123,1,0.516229,1,0.483771,0.680938,0.968562,1.032459,0
91,5805,0,5439,366,0.936951,1,0.516275,1,0.483725,0.680978,0.968475,1.032551,0
92,5805,0,5438,367,0.936779,1,0.516321,1,0.483679,0.681018,0.968389,1.032643,0
93,5805,0,5437,368,0.936606,1,0.516367,1,0.483633,0.681058,0.968303,1.032734,0
94,5805,0,5436,369,0.936434,1,0.516413,1,0.483587,0.681098,0.968217,1.032826,0
95,5805,0,5435,370,0.936262,1,0.516459,1,0.483541,0.681138,0.968131,1.032918,0
96,5805,0,5434,371,0.93609,1,0.516505,1,0.483495,0.681178,0.968045,1.03301,0
97,5805,0,5433,372,0.935917,1,0.516551,1,0.483449,0.681218,0.967959,1.033102,0
98,5805,0,5432,373,0.935745,1,0.516597,1,0.483403,0.681258,0.967873,1.033194,0
99,5805,0,5431,374,0.935573,1,0.516643,1,0.483357,0.681298,0.967786,1.033286,0
100,5805,0,5430,375,0.935401,1,0.516689,1,0.483311,0.681338,0.9677,1.033378,0
101,5805,0,5429,376,0.935228,1,0.516735,1,0.483265,0.681378,0.967614,1.03347,0
102,5805,0,5428,377,0.935056,1,0.516781,1,0.483219,0.681418,0.967528,1.033562,0
103,5805,0,5427,378,0.934884,1,0.516827,1,0.483173,0.681458,0.967442,1.033654,0
104,5805,0,5426,379,0.934711,1,0.516873,1,0.483127,0.681498,0.967356,1.033746,0
105,5805,0,5425,380,0.934539,1,0.516919,1,0.483081,0.681538,0.96727,1.033838,0
106,5805,0,5424,381,0.934367,1,0.516965,1,0.483035,0.681578,0.967183,1.03393,0
107,5805,0,5423,382,0.934195,1,0.517011,1,0.482989,0.681618,0.967097,1.034022,0
108,5805,0,5422,383,0.934022,1,0.517057,1,0.482943,0.681658,0.967011,1.034114,0
109,5805,0,5421,384,0.93385,1,0.517103,1,0.482897,0.681698,0.966925,1.034206,0
110,5805,0,5420,385,0.933678,1,0.517149,1,0.482851,0.681738,0.966839,1.034298,0
111,5805,0,5419,386,0.933506,1,0.517195,1,0.482805,0.681778,0.966753,1.034391,0
112,5805,0,5418,387,0.933333,1,0.517241,1,0.482759,0.681818,0.966667,1.034483,0
113,5805,0,5417,388,0.933161,1,0.517287,1,0.482713,0.681858,0.966581,1.034575,0
