energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,near_native
3844,2,60,2,1,2.028571429,0.109718909,0.051904762,9.337885269,0
(4624+0j),(2+0j),69,(2+0j),1,3.171428571,0.184411459,0.200102041,5.9884205,0
4761,1.954435882,69,2,1,3.2,0.191118297,0.141655329,4.160133941,0
4624,2,69,2,1,3.171428571,0.185983379,0.146462585,4.705143296,0
(4761+0j),(2+0j),69,(2+0j),1,3.228571429,0.208016338,0.142970522,2.768405152,0
4225,1.929286977,66,2,1,2.971428571,0.181334324,0.126655329,5.827635021,0
4900,1.915754463,70,2,1,3.285714286,0.218197468,0.147335601,8.952018263,0
4761,1.926654491,70,2,1,3.114285714,0.208428958,0.138843537,2.94365987,0
4356,1.956000204,65,2,1,2.742857143,0.170583533,0.161972789,8.601863087,0
4761,1.960234883,70,2,1,2.4,0.131725247,0.078571429,6.299706705,0
4624,1.93684359,69,1.940137878,1,3.057142857,0.212908713,0.089047619,7.926064955,0
(4489+0j),(2+0j),68,(2+0j),1,3.314285714,0.215437506,0.082857143,1.648506513,0
4761,1.903435227,70,2,1,3.085714286,0.198600897,0.170136054,4.393343927,0
4761,1.939834319,70,1.961524991,1,3.114285714,0.213391827,0.166904762,4.860192947,0
4624,1.893932327,69,2,1,3.285714286,0.203515718,0.184421769,9.168704877,0
(4356+0j),(1.95794742247+0j),65,(2+0j),1,2.942857143,0.179303124,0.06914966,4.31091645,0
4624,1.944054342,69,2,1,3.057142857,0.171507155,0.075022676,1.76434665,0
(3600+0j),(2+0j),61,(2+0j),1,2.8,0.17173829,0.136326531,0,0
4489,2,67,2,1,2.342857143,0.152070676,0.068095238,2.559582522,0
3844,2,62,2,1,2.971428571,0.185961199,0.113707483,2.22946768,0
4624,2,69,2,1,3.142857143,0.153402354,0.152847866,14.03010869,0
4489,1.874228513,68,2,1,3.085714286,0.199641543,0.123877551,2.404666826,0
4225,1.915653643,66,1.941523779,1,3.142857143,0.195917425,0.11585034,6.13566101,0
4356,2,66,2,1,2.628571429,0.161437047,0.055238095,13.45940524,0
4356,1.908692256,67,2,1,3,0.178532103,0.133061224,2.913047441,0
4356,2,67,2,1,3.085714286,0.209427807,0.107380952,11.12106409,0
4624,1.925972147,69,1.940469598,1,3.028571429,0.209791447,0.146598639,4.961291378,0
4225,1.887805327,66,2,1,2.628571429,0.152054691,0.17329932,7.731107904,0
4624,2,69,2,1,2.885714286,0.1813295,0.120816327,5.463365405,0
4761,1.936339934,70,2,1,3.085714286,0.183343897,0.131836735,4.656921352,0
4624,2,67,2,1,2.742857143,0.176592354,0.103877551,3.558545231,0
4489,1.962804378,68,2,1,2.514285714,0.156575493,0.07207483,0,0
4225,2,66,2,1,2.628571429,0.160205065,0.09707483,4.097171632,0
4900,1.894954028,70,2,1,3.457142857,0.223813498,0.163537415,2.500145226,0
4225,2,66,2,1,2.8,0.147725385,0.128163265,3.372232896,0
4624,1.935450896,68,1.960289842,1,3,0.200857482,0.12122449,2.85820512,0
4624,2,67,2,1,3.028571429,0.167974993,0.097619048,11.29542126,0
4356,1.871616659,67,2,1,2.971428571,0.201791713,0.157619048,8.282595073,0
(3969+0j),(2+0j),64,(2+0j),1,2.285714286,0.125266372,0.05914966,4.072388698,0
(4900+0j),(2+0j),70,(2+0j),1,2.971428571,0.191870737,0.154659864,7.714616185,0
4761,1.887911235,69,1.918789839,1,3.457142857,0.231075962,0.156428571,3.651385807,0
(4225+0j),(2+0j),65,(2+0j),1,2.971428571,0.17007719,0.1280839,4.299285932,0
4900,1.905622141,70,2,1,3.257142857,0.213967763,0.157097506,3.711930558,0
4900,1.900385539,70,1.933921292,1,3.457142857,0.249716909,0.155748299,2.756500354,0
4761,1.929562676,70,2,1,3,0.195388418,0.094478458,3.811765996,0
4624,1.950606178,69,2,1,2.742857143,0.177355069,0.053333333,2.16824051,0
4356,1.935436318,67,2,1,2.942857143,0.194013486,0.178979592,9.290275276,0
(4761+0j),(2+0j),69,(2+0j),1,3.314285714,0.18582629,0.112346939,4.988352117,0
4096,2,64,2,1,2.4,0.151100934,0.046054422,3.372235602,0
4356,2,66,2,1,2.657142857,0.178673566,0.075238095,1.389915742,0
4900,2,70,2,1,3.085714286,0.170033648,0.141904762,7.980737696,0
4624,1.910445978,69,2,1,2.971428571,0.18621007,0.099455782,15.18066654,0
4356,1.906313563,67,1.937557803,1,3.057142857,0.206520922,0.111768707,2.940622611,0
(4624+0j),(1.85552236866+0j),69,(2+0j),1,3.085714286,0.19016056,0.13122449,2.620011926,0
(4356+0j),(1.86091957171+0j),67,(2+0j),1,3.114285714,0.215093857,0.138730159,2.173366659,0
4624,1.953327188,69,1.963935247,1,3,0.207741636,0.114829932,3.188691988,0
4489,2,67,2,1,3.142857143,0.192202592,0.118741497,5.527620683,0
