energy,link_impurity,num_eigen,deg_imp,spectral_rad,closeness_centrality,clustering_coeff,second_eigen,small_worldness,near_native
|[4900.0000000000082, 1.9400705963957634, 70, 1.9463014524794748]|,|[1.0, 3.0]|,1
|[4900.0, 1.94006966260811, 70, 1.9473175688020394]|,|[1.0, 3.0285714285714285]|,1
|[4899.9999999999936, 1.9396911880885397, 70, 1.9537558074765133]|,|[1.0, 3.142857142857143]|,1
|[4900.0000000000018, 1.9462733499957632, 70, 1.9463223018811935]|,|[1.0, 2.914285714285714]|,1
|[4488.9999999999964, 1.939697760764878, 70, 1.9489182698931147]|,|[1.0, 2.914285714285714]|,1
|[4899.9999999999918, 1.939696660678359, 70, 1.942898135455096]|,|[1.0, 3.1714285714285713]|,1
|[4900.0000000000018, 1.9397120340097209, 70, 1.9463326647713446]|,|[1.0, 2.942857142857143]|,1
|[(3721.0000000000036+0j), (1.9057297527757475+0j), 70, (2+0j)]|,|[1.0, 2.857142857142857]|,0
|[4899.9999999999964, 1.9485294926788104, 70, 1.9513331154336155]|,|[1.0, 3.142857142857143]|,0
|[4356.0000000000018, 1.9541685708678398, 70, 1.9999999999999989]|,|[1.0, 2.5428571428571427]|,0
|[4489.0000000000055, 1.9362398163148526, 70, 2.0000000000000009]|,|[1.0, 3.0]|,0
|[4624.0, 1.9343279589857332, 70, 1.9375538209163259]|,|[1.0, 3.2]|,0
|[(4095.9999999999955+0j), (2.0000000000000027+0j), 70, (2.0000000000000044+0j)]|,|[1.0, 2.3714285714285714]|,0
|[4488.9999999999964, 1.8598308970676833, 70, 2.0000000000000036]|,|[1.0, 3.6857142857142855]|,0
|[4488.9999999999945, 1.9136583771831335, 70, 1.9616043373414065]|,|[1.0, 3.4]|,0
|[4624.0000000000055, 2.0000000000000004, 70, 2.0000000000000044]|,|[1.0, 2.6]|,0
|[4624.0000000000036, 2.0000000000000004, 70, 2.0000000000000009]|,|[1.0, 2.914285714285714]|,0
|[4224.9999999999982, 1.8970460504888393, 70, 2.0000000000000004]|,|[1.0, 2.942857142857143]|,0
|[4761.0000000000036, 1.9131139178070387, 70, 1.9999999999999987]|,|[1.0, 3.3142857142857145]|,0
|[4899.9999999999964, 1.8649718428719262, 70, 2.0000000000000004]|,|[1.0, 3.4571428571428573]|,0
|[4761.0000000000036, 1.9396311681833402, 70, 1.9579501446826024]|,|[1.0, 3.085714285714286]|,0
|[4760.9999999999964, 1.8748258221662837, 70, 1.9255030083028142]|,|[1.0, 3.3714285714285714]|,0
|[4488.9999999999982, 2.0000000000000004, 70, 2.0000000000000009]|,|[1.0, 2.742857142857143]|,0
|[4760.9999999999964, 1.9063042162617745, 70, 1.9360381677441052]|,|[1.0, 3.142857142857143]|,0
|[4761.0000000000018, 1.8574657764922387, 70, 1.9999999999999996]|,|[1.0, 3.2]|,0
|[4900.0000000000018, 1.8818779756246926, 70, 1.9999999999999989]|,|[1.0, 3.2857142857142856]|,0
|[4900.0000000000064, 1.8454931983639842, 70, 1.8890023053941423]|,|[1.0, 3.857142857142857]|,0
|[4624.0000000000036, 1.9395977183954158, 70, 2.0000000000000004]|,|[1.0, 3.057142857142857]|,0
|[4624.0000000000082, 2.0, 70, 2.0000000000000053]|,|[1.0, 3.0285714285714285]|,0
|[4900.0, 1.8947944426699381, 70, 2.0000000000000018]|,|[1.0, 3.1142857142857143]|,0
|[4224.9999999999982, 1.936903628846091, 70, 1.9999999999999938]|,|[1.0, 2.6857142857142855]|,0
|[4761.0000000000036, 2.0000000000000004, 70, 2.0000000000000013]|,|[1.0, 3.142857142857143]|,0
|[4356.0, 1.9901159778546706, 70, 2.0000000000000022]|,|[1.0, 2.657142857142857]|,0
|[4900.0000000000064, 1.9400643068812715, 70, 1.9412980312651238]|,|[1.0, 3.342857142857143]|,0
|[(4623.9999999999982+0j), (1.8900078268751357+0j), 70, (2.0000000000000004+0j)]|,|[1.0, 2.9714285714285715]|,0
|[4761.0000000000018, 2.0, 70, 2.0000000000000009]|,|[1.0, 2.857142857142857]|,0
|[(4623.9999999999964+0j), (2.0000000000000004+0j), 70, (2.0000000000000036+0j)]|,|[1.0, 2.857142857142857]|,0
|[4096.0000000000036, 1.8747657732909304, 70, 1.9999999999999987]|,|[1.0, 2.914285714285714]|,0
|[4355.9999999999964, 1.9486741590363166, 70, 1.9999999999999969]|,|[1.0, 2.8857142857142857]|,0
|[(4356+0j), (1.9999999999999993+0j), 70, (2.0000000000000022+0j)]|,|[1.0, 3.2857142857142856]|,0
|[(4760.9999999999964+0j), (2.0000000000000009+0j), 70, (2.0000000000000009+0j)]|,|[1.0, 2.657142857142857]|,0
|[4761.0000000000036, 1.9142466071214959, 70, 1.9568628173942593]|,|[1.0, 3.257142857142857]|,0
|[4900.0000000000082, 1.8792163390234324, 70, 1.896783898435018]|,|[1.0, 3.8285714285714287]|,0
|[4096.0000000000073, 1.9525223931751974, 70, 2.0000000000000093]|,|[1.0, 2.6857142857142855]|,0
|[4225.0, 1.8848815882550383, 70, 1.9000036492530077]|,|[1.0, 3.057142857142857]|,0
|[4488.9999999999982, 2.0000000000000009, 70, 2.0000000000000031]|,|[1.0, 3.057142857142857]|,0
|[4489.0000000000018, 1.8453182292337942, 70, 2.0000000000000022]|,|[1.0, 3.1142857142857143]|,0
|[3968.9999999999991, 2.0, 70, 2.0000000000000022]|,|[1.0, 2.3142857142857145]|,0
|[(4096.0000000000018+0j), (2+0j), 70, (2.0000000000000013+0j)]|,|[1.0, 2.3714285714285714]|,0
|[4224.9999999999982, 2.0, 70, 2.0000000000000013]|,|[1.0, 3.142857142857143]|,0
|[(4624+0j), (1.9999999999999969+0j), 70, (1.9999999999999993+0j)]|,|[1.0, 3.085714285714286]|,0
|[4761.0, 1.9999999999999987, 70, 2.0000000000000013]|,|[1.0, 2.914285714285714]|,0
|[4900.0000000000064, 1.9457359032308086, 70, 1.9626846512102047]|,|[1.0, 2.9714285714285715]|,0
|[4489.0, 1.8987097749795891, 70, 2.0000000000000009]|,|[1.0, 3.2857142857142856]|,0
|[4624.0, 1.9357077904967264, 70, 1.9686887237509976]|,|[1.0, 3.057142857142857]|,0
|[4761.0000000000018, 1.9277543873285197, 70, 2.0000000000000009]|,|[1.0, 2.7714285714285714]|,0
|[4096.0000000000055, 1.9999999999999976, 70, 2.0000000000000018]|,|[1.0, 3.0]|,0
|[4225.0000000000018, 2.0000000000000027, 70, 2.0000000000000067]|,|[1.0, 2.914285714285714]|,0
|[4623.9999999999964, 1.9999999999999989, 70, 1.9999999999999996]|,|[1.0, 2.8285714285714287]|,0
|[4356.0000000000036, 1.9071871606893531, 70, 1.9489506079932586]|,|[1.0, 2.8]|,0
|[(4095.9999999999955+0j), (1.8846736316398149+0j), 70, (1.9999999999999993+0j)]|,|[1.0, 2.5714285714285716]|,0
|[3844.0000000000027, 2.0, 70, 2.0000000000000009]|,|[1.0, 2.0285714285714285]|,0
|[(4624.0000000000082+0j), (1.9999999999999998+0j), 70, (2.0000000000000004+0j)]|,|[1.0, 3.1714285714285713]|,0
|[4761.0000000000055, 1.9544358824097297, 70, 2.0000000000000009]|,|[1.0, 3.2]|,0
|[4624.0000000000018, 1.9999999999999996, 70, 2.0]|,|[1.0, 3.1714285714285713]|,0
|[(4761.0000000000055+0j), (2.0000000000000018+0j), 70, (2.0000000000000018+0j)]|,|[1.0, 3.2285714285714286]|,0
|[4225.0000000000036, 1.9292869768539849, 70, 2.0000000000000027]|,|[1.0, 2.9714285714285715]|,0
|[4900.0, 1.9157544633050849, 70, 1.9999999999999973]|,|[1.0, 3.2857142857142856]|,0
|[4761.0000000000082, 1.9266544905104919, 70, 2.0000000000000009]|,|[1.0, 3.1142857142857143]|,0
|[4356.0000000000055, 1.9560002035369863, 70, 1.9999999999999998]|,|[1.0, 2.742857142857143]|,0
|[4761.0000000000018, 1.9602348826551896, 70, 1.9999999999999998]|,|[1.0, 2.4]|,0
|[4623.9999999999964, 1.9368435898313032, 70, 1.940137878268811]|,|[1.0, 3.057142857142857]|,0
|[(4488.9999999999927+0j), (1.9999999999999989+0j), 70, (1.9999999999999993+0j)]|,|[1.0, 3.3142857142857145]|,0
|[4761.0, 1.9034352272923543, 70, 2.0000000000000004]|,|[1.0, 3.085714285714286]|,0
|[4760.9999999999964, 1.9398343193993473, 70, 1.9615249908359851]|,|[1.0, 3.1142857142857143]|,0
|[4624.0000000000018, 1.8939323274864641, 70, 2.0000000000000004]|,|[1.0, 3.2857142857142856]|,0
|[(4355.9999999999964+0j), (1.9579474224673024+0j), 70, (2+0j)]|,|[1.0, 2.942857142857143]|,0
|[4623.9999999999945, 1.9440543424898378, 70, 1.9999999999999949]|,|[1.0, 3.057142857142857]|,0
|[(3600.0000000000009+0j), (1.9999999999999996+0j), 70, (2.0000000000000018+0j)]|,|[1.0, 2.8]|,0
|[4488.9999999999964, 1.9999999999999993, 70, 1.9999999999999998]|,|[1.0, 2.342857142857143]|,0
|[3843.9999999999936, 1.999999999999998, 70, 2.0]|,|[1.0, 2.9714285714285715]|,0
|[4624.0000000000036, 1.9999999999999996, 70, 2.0000000000000018]|,|[1.0, 3.142857142857143]|,0
|[4489.0, 1.8742285129076901, 70, 1.9999999999999996]|,|[1.0, 3.085714285714286]|,0
|[4225.0, 1.9156536425781714, 70, 1.9415237792492899]|,|[1.0, 3.142857142857143]|,0
|[4356.0, 1.9999999999999996, 70, 1.9999999999999998]|,|[1.0, 2.6285714285714286]|,0
|[4356.0000000000018, 1.9086922555271413, 70, 1.9999999999999976]|,|[1.0, 3.0]|,0
