num_edges,density,avg_degree,percent_endpoints,energy,second_eigen,unique_eigen,spectral_rad,link_impurity,neighborhood_impurity,avg_closeness,avg_clustering,small_worldness,eccentricity,diameter,radius,%central_nodes,near_native
225,0.093167702,6.428571429,0.014285714,(450+0j),(6.35044269878+0j),70,(8.10082745783+0j),0.502222222,3.228571429,0.316376842,0.260175222,1.698213944,5.9,5,6,0.342857143,1
228,0.094409938,6.514285714,0.014285714,(456+0j),(6.29817387288+0j),70,(7.71320730778+0j),0.473684211,3.085714286,0.316400877,0.261221398,2.073025322,6,5,6,0.428571429,1
234,0.09689441,6.685714286,0.014285714,(468+0j),(6.42621570144+0j),70,(7.80526958831+0j),0.5,3.342857143,0.324454444,0.255684395,1.612938748,5.585714286,5,6,0.371428571,1
230,0.095238095,6.571428571,0,(460+0j),(6.51677134403+0j),70,(7.20915996382+0j),0.491304348,3.228571429,0.311895494,0.257717996,2.398325873,5.585714286,5,6,0.514285714,1
248,0.102691511,7.085714286,0,(496+0j),(6.96553329527+0j),70,(8.67772637941+0j),0.508064516,3.6,0.320782443,0.28172843,2.077007722,5.628571429,5,6,0.357142857,1
216,0.089440994,6.171428571,0,(432+0j),(5.98361033879+0j),70,(7.23674785258+0j),0.481481481,2.971428571,0.306339453,0.272709751,2.756524709,5.714285714,5,7,0.157142857,1
237,0.098136646,6.771428571,0,(474+0j),(6.2925617148+0j),70,(8.38458027983+0j),0.497890295,3.371428571,0.313407505,0.260588538,2.288829947,5.8,5,6,0.442857143,1
238,0.098550725,6.8,0,(476+0j),(6.29808784746+0j),70,(8.27104994432+0j),0.495798319,3.371428571,0.313680498,0.300411255,1.820088356,5.557142857,5,6,0.457142857,1
230,0.095238095,6.571428571,0.014285714,(460+0j),(6.51573237902+0j),70,(8.03372335893+0j),0.482608696,3.171428571,0.320291105,0.251945991,2.111981535,5.6,5,6,0.4,1
227,0.093995859,6.485714286,0,(454+0j),(6.11664549402+0j),70,(7.51365153186+0j),0.49339207,3.2,0.316369234,0.250963719,1.962020089,5.571428571,5,6,0.4,1
236,0.097722567,6.742857143,0,(472+0j),(6.43010009943+0j),70,(7.79150168582+0j),0.491525424,3.314285714,0.319604243,0.274903113,1.823881736,5.328571429,5,6,0.428571429,1
247,0.102277433,7.057142857,0,(494+0j),(6.71690489541+0j),70,(8.45564058727+0j),0.489878543,3.457142857,0.330767464,0.285120832,1.690620193,5.528571429,5,6,0.4,1
242,0.100207039,6.914285714,0.014285714,(484+0j),(6.92123894579+0j),70,(8.28550192233+0j),0.487603306,3.371428571,0.317723515,0.267090529,1.769394021,5.985714286,5,6,0.4,1
234,0.09689441,6.685714286,0.014285714,(468+0j),(6.19037953822+0j),70,(8.19910424014+0j),0.478632479,3.2,0.321048511,0.268226456,1.946702273,5.571428571,5,6,0.471428571,1
240,0.099378882,6.857142857,0.014285714,(480+0j),(6.78039513762+0j),70,(8.32495312329+0j),0.491666667,3.371428571,0.319137594,0.292386344,2.78821608,5.671428571,5,6,0.442857143,1
239,0.098964803,6.828571429,0.014285714,(478+0j),(6.77965670964+0j),70,(8.11362407327+0j),0.481171548,3.285714286,0.324116634,0.267466502,2.152953875,5.6,5,6,0.414285714,1
234,0.09689441,6.685714286,0.014285714,(468+0j),(6.32208884779+0j),70,(8.60656250073+0j),0.491452991,3.285714286,0.312584614,0.256751185,1.77103504,6.014285714,5,6,0.4,1
250,0.103519669,7.142857143,0,(500+0j),(6.88726762092+0j),70,(8.67736803748+0j),0.488,3.485714286,0.329655809,0.278837195,2.308370877,5.4,5,6,0.4,1
233,0.096480331,6.657142857,0.014285714,(466+0j),(6.6606534938+0j),70,(7.59826105324+0j),0.484978541,3.228571429,0.316150738,0.259340342,1.951186575,5.714285714,5,6,0.442857143,1
236,0.097722567,6.742857143,0,(472+0j),(6.2910759062+0j),70,(8.33532639339+0j),0.491525424,3.314285714,0.313689031,0.254168213,2.463460196,5.8,5,6,0.442857143,1
243,0.100621118,6.942857143,0,(486+0j),(6.62205314115+0j),70,(7.96982523043+0j),0.502057613,3.485714286,0.331165952,0.293516801,2.034364529,5.2,5,6,0.314285714,1
248,0.102691511,7.085714286,0.014285714,(496+0j),(6.81613166933+0j),70,(8.53029137512+0j),0.483870968,3.428571429,0.326103549,0.28707372,2.047080847,5.971428571,5,6,0.385714286,1
232,0.096066253,6.628571429,0.028571429,(464+0j),(6.79841754774+0j),70,(7.79235065353+0j),0.482758621,3.2,0.310508351,0.261609977,2.114197031,6.014285714,5,6,0.485714286,1
239,0.098964803,6.828571429,0,(478+0j),(6.40218725845+0j),70,(8.25562050357+0j),0.481171548,3.285714286,0.323358064,0.273984666,1.565718274,5.371428571,5,6,0.414285714,1
235,0.097308489,6.714285714,0.014285714,(470+0j),(6.72699218298+0j),70,(7.92062033504+0j),0.489361702,3.285714286,0.317904824,0.270242218,2.150606624,5.685714286,5,6,0.414285714,1
231,0.095652174,6.6,0,(462+0j),(6.1462873552+0j),70,(7.69612065256+0j),0.497835498,3.285714286,0.321987325,0.268940425,1.678041937,5.457142857,5,6,0.371428571,1
234,0.09689441,6.685714286,0,(468+0j),(6.27831941329+0j),70,(7.87840979995+0j),0.487179487,3.257142857,0.327299347,0.279203257,1.869571647,5.371428571,5,6,0.357142857,1
237,0.098136646,6.771428571,0,(474+0j),(6.32376223978+0j),70,(8.08444637606+0j),0.489451477,3.314285714,0.316258822,0.262480932,1.961670992,5.671428571,5,6,0.471428571,1
245,0.101449275,7,0,(490+0j),(6.66887004065+0j),70,(8.14556316014+0j),0.485714286,3.4,0.331607623,0.297169656,2.151348755,5.142857143,5,6,0.3,1
232,0.096066253,6.628571429,0,(464+0j),(6.33531190719+0j),70,(7.93482435915+0j),0.495689655,3.285714286,0.311760042,0.262571635,2.328841977,5.642857143,5,6,0.471428571,1
235,0.097308489,6.714285714,0,(470+0j),(6.31315855525+0j),70,(8.02098124859+0j),0.493617021,3.314285714,0.326817748,0.279103278,1.618660738,5.442857143,6,6,0.4,1
240,0.099378882,6.857142857,0,(480+0j),(6.57929478292+0j),70,(8.03816582829+0j),0.491666667,3.371428571,0.324676432,0.266645022,2.541127988,5.585714286,5,6,0.414285714,1
234,0.09689441,6.685714286,0,(468+0j),(6.29306914004+0j),70,(8.1765885525+0j),0.495726496,3.314285714,0.315702456,0.267191301,1.856394197,5.585714286,5,6,0.428571429,1
242,0.100207039,6.914285714,0,(484+0j),(6.29869258783+0j),70,(8.94092770462+0j),0.487603306,3.371428571,0.316768081,0.277852703,1.784924215,5.642857143,5,6,0.457142857,1
238,0.098550725,6.8,0,(476+0j),(6.62584169172+0j),70,(8.04095760093+0j),0.487394958,3.314285714,0.323195383,0.286277056,2.24876751,5.557142857,5,6,0.385714286,1
234,0.09689441,6.685714286,0.014285714,(468+0j),(6.69872793419+0j),70,(8.25194960617+0j),0.474358974,3.171428571,0.319021213,0.258531865,2.498363637,5.671428571,5,6,0.4,1
223,0.092339545,6.371428571,0,(446+0j),(6.16549428605+0j),70,(7.41189119158+0j),0.493273543,3.142857143,0.310224409,0.250818388,1.882927417,5.814285714,5,6,0.442857143,1
243,0.100621118,6.942857143,0.014285714,(486+0j),(6.5733836776+0j),70,(8.39526805077+0j),0.489711934,3.4,0.32500522,0.284652253,1.470978038,5.885714286,5,6,0.385714286,1
235,0.097308489,6.714285714,0,(470+0j),(6.28574763393+0j),70,(8.2307295984+0j),0.489361702,3.285714286,0.312284048,0.265207174,1.943586457,5.628571429,5,6,0.457142857,1
236,0.097722567,6.742857143,0.028571429,(472+0j),(6.65112560977+0j),70,(8.39587890145+0j),0.495762712,3.342857143,0.313065945,0.272942692,2.066022707,5.971428571,5,6,0.357142857,1
228,0.094409938,6.514285714,0,(456+0j),(6.16059162488+0j),70,(7.48583710603+0j),0.473684211,3.085714286,0.312999693,0.266899608,1.475762897,5.7,5,6,0.5,1
236,0.097722567,6.742857143,0,(472+0j),(6.78123559526+0j),70,(8.17121315728+0j),0.495762712,3.342857143,0.313990282,0.286314162,2.115283833,5.528571429,5,6,0.442857143,1
227,0.093995859,6.485714286,0.014285714,(454+0j),(6.44287881236+0j),70,(7.37643043809+0j),0.488986784,3.171428571,0.31366312,0.269216656,1.908990883,5.614285714,5,6,0.428571429,1
235,0.097308489,6.714285714,0,(470+0j),(6.28366518733+0j),70,(8.05035817276+0j),0.49787234,3.342857143,0.315537297,0.286064729,2.005559015,5.585714286,5,6,0.471428571,1
235,0.097308489,6.714285714,0,(470+0j),(6.55383144425+0j),70,(7.74210869738+0j),0.480851064,3.228571429,0.321896683,0.276681097,1.807935052,5.557142857,5,6,0.528571429,1
236,0.097722567,6.742857143,0.014285714,(472+0j),(6.3045832436+0j),70,(8.24749730935+0j),0.504237288,3.4,0.326821554,0.263284097,2.27760126,5.428571429,5,6,0.4,1
233,0.096480331,6.657142857,0,(466+0j),(6.60436849837+0j),70,(7.5024821907+0j),0.497854077,3.314285714,0.319206577,0.269114616,2.162716568,5.442857143,5,6,0.371428571,1
237,0.098136646,6.771428571,0,(474+0j),(6.3994268824+0j),70,(8.40396980741+0j),0.485232068,3.285714286,0.311444045,0.288647702,2.306649859,5.742857143,6,6,0.414285714,1
241,0.099792961,6.885714286,0.014285714,(482+0j),(6.45796578599+0j),70,(8.39365232879+0j),0.477178423,3.285714286,0.32443304,0.279578041,1.993522945,5.928571429,5,6,0.342857143,1
238,0.098550725,6.8,0,(476+0j),(6.30121226127+0j),70,(8.30739877226+0j),0.491596639,3.342857143,0.314494656,0.274685632,1.681124578,5.571428571,5,6,0.442857143,1
244,0.101035197,6.971428571,0,(488+0j),(6.17802622461+0j),70,(8.75461262623+0j),0.483606557,3.371428571,0.329904262,0.290127333,1.912519721,5.385714286,5,6,0.371428571,1
227,0.093995859,6.485714286,0,(454+0j),(6.41085070325+0j),70,(7.31786099373+0j),0.49339207,3.2,0.313113939,0.256995465,1.932872812,5.542857143,5,6,0.457142857,1
234,0.09689441,6.685714286,0,(468+0j),(6.34656539834+0j),70,(8.24107544277+0j),0.491452991,3.285714286,0.31508668,0.279486942,2.106449956,5.557142857,5,6,0.471428571,1
237,0.098136646,6.771428571,0,(474+0j),(6.9347258867+0j),70,(7.80056426804+0j),0.502109705,3.4,0.311822256,0.279588745,2.035320318,5.5,5,6,0.5,1
238,0.098550725,6.8,0,(476+0j),(6.28772216758+0j),70,(8.28906720259+0j),0.491596639,3.342857143,0.314070083,0.281522367,2.025022673,5.585714286,5,6,0.428571429,1
235,0.097308489,6.714285714,0,(470+0j),(6.35525830771+0j),70,(7.81396902531+0j),0.485106383,3.257142857,0.319805826,0.255656566,1.631568279,5.6,5,6,0.457142857,1
236,0.097722567,6.742857143,0,(472+0j),(6.28495048135+0j),70,(7.75163251124+0j),0.504237288,3.4,0.325284878,0.273574521,2.273613927,5.457142857,5,6,0.4,1
234,0.09689441,6.685714286,0,(468+0j),(6.24730242115+0j),70,(7.91348230002+0j),0.478632479,3.2,0.313632248,0.261427541,1.713355721,5.771428571,5,6,0.471428571,1
262,0.108488613,7.485714286,0,(524+0j),(7.02855397975+0j),70,(9.03014199273+0j),0.477099237,3.571428571,0.338525233,0.295151119,1.998927082,5.328571429,5,6,0.328571429,1
227,0.093995859,6.485714286,0.014285714,(454+0j),(6.31370504636+0j),70,(7.31292669761+0j),0.49339207,3.2,0.313915912,0.258435374,2.138498377,5.742857143,5,6,0.471428571,1
256,0.106004141,7.314285714,0,(512+0j),(6.77025022783+0j),70,(8.97287932776+0j),0.4921875,3.6,0.337256009,0.308019441,2.224360246,5.171428571,5,6,0.314285714,1
244,0.101035197,6.971428571,0,(488+0j),(6.49152096624+0j),70,(8.26820544837+0j),0.487704918,3.4,0.330585901,0.287066822,1.976735397,5.257142857,5,6,0.328571429,1
225,0.093167702,6.428571429,0.028571429,(450+0j),(6.23287877487+0j),70,(8.14778229006+0j),0.497777778,3.2,0.318712121,0.25187281,1.921348459,5.714285714,5,6,0.442857143,1
237,0.098136646,6.771428571,0.014285714,(474+0j),(6.30617035758+0j),70,(8.31921384283+0j),0.481012658,3.257142857,0.320923952,0.261737072,1.620009653,5.728571429,5,6,0.428571429,1
233,0.096480331,6.657142857,0,(466+0j),(6.30282475252+0j),70,(8.13156542158+0j),0.497854077,3.314285714,0.311831177,0.263630179,2.54885115,5.657142857,5,6,0.457142857,1
232,0.096066253,6.628571429,0,(464+0j),(6.26626225935+0j),70,(7.8784089232+0j),0.495689655,3.285714286,0.311030236,0.264128015,1.596997208,5.628571429,5,6,0.457142857,1
236,0.097722567,6.742857143,0,(472+0j),(6.21882425959+0j),70,(7.81511176359+0j),0.478813559,3.228571429,0.322271302,0.281077098,1.910130553,5.471428571,5,6,0.457142857,1
229,0.094824017,6.542857143,0,(458+0j),(6.21761294335+0j),70,(7.54765730473+0j),0.493449782,3.228571429,0.300681816,0.26180169,1.50448483,6.228571429,5,6,0.385714286,1
249,0.10310559,7.114285714,0.014285714,(498+0j),(6.67981764834+0j),70,(8.66015795235+0j),0.477911647,3.4,0.330358875,0.284890744,1.786619561,5.585714286,5,6,0.414285714,1
234,0.09689441,6.685714286,0,(468+0j),(6.34100127558+0j),70,(7.8907550623+0j),0.478632479,3.2,0.321207392,0.258581736,1.666340858,5.614285714,5,6,0.428571429,1
